RUN	performanceRunners.CDArticleSimulation	cdarticlesimulation	1683392124883	 	3.7.4
USER	Create an Article	START	1683392127179
USER	Create an Article	START	1683392125265
USER	Create an Article	START	1683392126186
USER	Create an Article	START	1683392128139
USER	Create an Article	START	1683392129154
REQUEST		POST /api/users/login	1683392133460	1683392134429	OK	 
REQUEST		POST /api/users/login	1683392134648	1683392135099	OK	 
USER	Create an Article	END	1683392135147
USER	Create an Article	END	1683392135147
USER	Create an Article	END	1683392135147
USER	Create an Article	END	1683392135147
USER	Create an Article	END	1683392135149
